dataset,repeat,task_type,metric,higher_is_better,noise_level,metadata_mode,score_scopeA_clean_test,score_scopeB_corrupt_test,perf_scopeA,perf_scopeB
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,0,catboost,0.05342946596177067,0.05342946596177067,-0.05342946596177067,-0.05342946596177067
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,0,baseline (soft),0.8323096364050595,0.8323096364050595,-0.8323096364050595,-0.8323096364050595
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,0,baseline (hard),8.650476813388114,8.650476813388114,-8.650476813388114,-8.650476813388114
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,0,true,0.17668223734332072,0.17668223734332072,-0.17668223734332072,-0.17668223734332072
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,0,none,0.21456431196443437,0.21456431196443437,-0.21456431196443437,-0.21456431196443437
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,0,wrong,0.18715188332192936,0.18715188332192936,-0.18715188332192936,-0.18715188332192936
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,1,catboost,0.19055823605977362,0.10765655067913414,-0.19055823605977362,-0.10765655067913414
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,1,baseline (soft),0.8323096364050595,0.8323096364050595,-0.8323096364050595,-0.8323096364050595
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,1,baseline (hard),8.650476813388114,8.650476813388114,-8.650476813388114,-8.650476813388114
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,1,true,0.2139409562961833,0.2039851465006954,-0.2139409562961833,-0.2039851465006954
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,1,none,1.0069136106565284,0.7913010407288399,-1.0069136106565284,-0.7913010407288399
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,1,wrong,0.7317170077830639,0.5293842513337877,-0.7317170077830639,-0.5293842513337877
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,2,catboost,0.09045459319856941,0.11117444249336027,-0.09045459319856941,-0.11117444249336027
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,2,baseline (soft),0.8323096364050595,0.8323096364050595,-0.8323096364050595,-0.8323096364050595
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,2,baseline (hard),8.650476813388114,8.650476813388114,-8.650476813388114,-8.650476813388114
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,2,true,0.5913392140745318,0.46588592796237077,-0.5913392140745318,-0.46588592796237077
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,2,none,0.3491911700723939,0.34732655360445636,-0.3491911700723939,-0.34732655360445636
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,2,wrong,0.3018348240910633,0.2880997133939656,-0.3018348240910633,-0.2880997133939656
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,3,catboost,0.8276210485347607,0.8326288902880634,-0.8276210485347607,-0.8326288902880634
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,3,baseline (soft),0.8323096364050595,0.8323096364050595,-0.8323096364050595,-0.8323096364050595
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,3,baseline (hard),8.650476813388114,8.650476813388114,-8.650476813388114,-8.650476813388114
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,3,true,0.8354827636182837,0.8321911596319478,-0.8354827636182837,-0.8321911596319478
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,3,none,0.8473419994949872,0.8440464004038944,-0.8473419994949872,-0.8440464004038944
anneal,0,multiclass,Log Loss (sklearn.metrics.log_loss),False,3,wrong,1.1572593251304395,1.1517755005081798,-1.1572593251304395,-1.1517755005081798
anneal,1,multiclass,Log Loss (sklearn.metrics.log_loss),False,0,catboost,0.09607639423202435,0.09607639423202435,-0.09607639423202435,-0.09607639423202435
anneal,1,multiclass,Log Loss (sklearn.metrics.log_loss),False,0,baseline (soft),0.8306568812925521,0.8306568812925521,-0.8306568812925521,-0.8306568812925521
anneal,1,multiclass,Log Loss (sklearn.metrics.log_loss),False,0,baseline (hard),8.650476813388114,8.650476813388114,-8.650476813388114,-8.650476813388114
anneal,1,multiclass,Log Loss (sklearn.metrics.log_loss),False,0,true,0.17620218035596796,0.17620218035596796,-0.17620218035596796,-0.17620218035596796
anneal,1,multiclass,Log Loss (sklearn.metrics.log_loss),False,0,none,0.1605182266451438,0.1605182266451438,-0.1605182266451438,-0.1605182266451438
anneal,1,multiclass,Log Loss (sklearn.metrics.log_loss),False,0,wrong,0.13662185987788975,0.13662185987788975,-0.13662185987788975,-0.13662185987788975
anneal,1,multiclass,Log Loss (sklearn.metrics.log_loss),False,1,catboost,0.3122812523954828,0.16014978451688489,-0.3122812523954828,-0.16014978451688489
anneal,1,multiclass,Log Loss (sklearn.metrics.log_loss),False,1,baseline (soft),0.8306568812925521,0.8306568812925521,-0.8306568812925521,-0.8306568812925521
anneal,1,multiclass,Log Loss (sklearn.metrics.log_loss),False,1,baseline (hard),8.650476813388114,8.650476813388114,-8.650476813388114,-8.650476813388114
anneal,1,multiclass,Log Loss (sklearn.metrics.log_loss),False,1,true,0.6081424689995096,0.34689255317930306,-0.6081424689995096,-0.34689255317930306
anneal,1,multiclass,Log Loss (sklearn.metrics.log_loss),False,1,none,0.7643370600790547,0.22381529084113994,-0.7643370600790547,-0.22381529084113994
